name,money_raised,announced_date,location,industries,description,funding_type,lead_investors,total_funding
Wisk Aero,"$450,000,000","Jan 24, 2022","Mountain View, California, United States, North America","Aerospace, Air Transportation, Sustainability, Transportation, Travel",Wisk is an urban air-mobility company on a mission to leave traffic on the ground and make sustainable flight a reality for everyday life.,Corporate Round,The Boeing Company,"$450,000,000"
OneWeb,"$400,000,000","Jan 15, 2021","London, England, United Kingdom, Europe","Aerospace, Internet, Satellite Communication, Telecommunications","OneWeb is building a space-based communications network that delivers high-speed, low-latency internet access.",Venture - Series Unknown,SoftBank Capital,"$4,700,000,000"
Beta Technologies,"$375,000,000","Apr 20, 2022","South Burlington, Vermont, United States, North America","Aerospace, Air Transportation, CleanTech, Manufacturing",Beta Technologies manufactures electric vertical takeoff and landing (eVTOL) aircraft and recharging pad systems.,Series B,"Fidelity, TPG Rise Climate Fund","$1,055,000,000"
Beta Technologies,"$368,000,000","May 18, 2021","South Burlington, Vermont, United States, North America","Aerospace, Air Transportation, CleanTech, Manufacturing",Beta Technologies manufactures electric vertical takeoff and landing (eVTOL) aircraft and recharging pad systems.,Series A,Fidelity,"$1,055,000,000"
Axiom Space,"$350,000,000","Aug 21, 2023","Houston, Texas, United States, North America","Advanced Materials, Aerospace, Industrial Manufacturing, Space Travel",Axiom Space is a commercial space station company that connects to the ISS.,Series C,"Aljazira Capital, Boryung Pharmaceutical","$500,000,000"
SpaceX,"$346,200,000","May 26, 2020","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown,—,"$9,779,343,846"
SpaceX,"$337,355,200","Dec 30, 2021","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown,—,"$9,779,343,846"
SpaceX,"$314,000,000","Apr 14, 2021","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Venture - Series Unknown,—,"$9,779,343,846"
Shield AI,"$300,000,000","Oct 31, 2023","San Diego, California, United States, North America","Artificial Intelligence (AI), Autonomous Vehicles, Drones, Machine Learning, National Security",Shield AI is an artificial intelligence company that aims to protect service members and civilians with intelligent systems.,Series F,"Riot Ventures, US Innovative Technology Fund","$1,073,144,999"
Firefly Aerospace,"$300,000,000","Nov 10, 2023","Cedar Park, Texas, United States, North America","Aerospace, Air Transportation, Satellite Communication","Firefly Aerospace provides launch vehicles, spacecraft, and in-space services for small payloads.",Series C,"AE Industrial Partners, Mitsui & Co., Ltd.","$571,557,023"
OneWeb,"$300,000,000","Aug 12, 2021","London, England, United Kingdom, Europe","Aerospace, Internet, Satellite Communication, Telecommunications","OneWeb is building a space-based communications network that delivers high-speed, low-latency internet access.",Corporate Round,Hanwha Systems,"$4,700,000,000"
Sierra Space,"$290,000,000","Sep 26, 2023","Louisville, Colorado, United States, North America","Advanced Materials, Aerospace, Industrial Manufacturing, Space Travel, Transportation",Sierra Space is a commercial space company that specializes in the development of advanced space technologies and solutions.,Series B,"Kanematsu Corporation, MUFG Bank, Tokio Marine Nichido","$1,690,000,000"
Astranis,"$250,000,000","Apr 14, 2021","San Francisco, California, United States, North America","Aerospace, Internet, Satellite Communication, Telecommunications",Astranis is a space startup that builds small and low-cost telecommunications satellites to provide internet access in remote regions.,Series C,BlackRock,"$553,499,998"
SpaceX,"$250,000,000","Jul 15, 2022","Hawthorne, California, United States, North America","Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Private Equity,Mirae Asset Venture Investment,"$9,779,343,846"
Volocopter,"€201,000,000","Mar 3, 2021","Bruchsal, Baden-Wurttemberg, Germany, Europe","Aerospace, Air Transportation, Drones, Robotics, Transportation",Volocopter is an urban air mobility company that develops eco-friendly air taxis to transport people.,Series D,—,"$780,581,645"
Divergent,"$230,000,000","Nov 13, 2023","Torrance, California, United States, North America","3D Printing, Aerospace, Automotive, Embedded Software, GreenTech, Industrial Automation, Industrial Manufacturing, Software",Divergent is a developer of an end-to-end digital production system to reform industrial-scale manufacturing.,Series D,Hexagon,"$769,000,000"
Skydio,"$230,000,000","Feb 27, 2023","Redwood City, California, United States, North America","Artificial Intelligence (AI), Drone Management, Drones, Law Enforcement, Machine Learning, Robotics","Skydio uses artificial intelligence to create flying drones that are used by consumer, enterprise, and government customers.",Series E,Linse Capital,"$570,000,000"
Helsing,"€209,000,000","Sep 14, 2023","Berlin, Berlin, Germany, Europe","Artificial Intelligence (AI), Information Technology, Military, Software",Helsing is an AI defense company that specializes in the creation of AI-powered military solutions and components.,Series B,General Catalyst,"€311,500,000"
Shield AI,"$210,000,000","Aug 24, 2021","San Diego, California, United States, North America","Artificial Intelligence (AI), Autonomous Vehicles, Drones, Machine Learning, National Security",Shield AI is an artificial intelligence company that aims to protect service members and civilians with intelligent systems.,Series D,Disruptive,"$1,073,144,999"
Skyryse,"$200,000,000","Oct 27, 2021","El Segundo, California, United States, North America","Aerospace, Air Transportation, Internet, Transportation",Skyryse is an air mobility company on a mission to democratize the sky.,Series B,"Fidelity, Monashee Investment Management","$240,500,000"
Astranis,"$200,000,000","Apr 14, 2023","San Francisco, California, United States, North America","Aerospace, Internet, Satellite Communication, Telecommunications",Astranis is a space startup that builds small and low-cost telecommunications satellites to provide internet access in remote regions.,Venture - Series Unknown,Andreessen Horowitz,"$553,499,998"
Epirus,"$200,000,000","Feb 15, 2022","Hawthorne, California, United States, North America","Aerospace, Machinery Manufacturing, Military, Software",Epirus builds directed energy and power management systems to solve some of the world’s most complex problems.,Series C,T. Rowe Price,"$287,631,878"
ABL Space Systems,"$200,000,000","Oct 25, 2021","El Segundo, California, United States, North America","Aerospace, Information Technology, Satellite Communication",ABL Space Systems specializes in building rockets to launch satellites.,Series B,—,"$459,000,000"
Anduril Industries,"$200,000,000","Jul 1, 2020","Costa Mesa, California, United States, North America","Aerospace, Government, Military, National Security",Anduril Industries is a defense product company that builds technology for military agencies and border surveillance.,Series C,Andreessen Horowitz,"$2,171,000,000"
Volocopter,"$182,000,000","Nov 1, 2022","Bruchsal, Baden-Wurttemberg, Germany, Europe","Aerospace, Air Transportation, Drones, Robotics, Transportation",Volocopter is an urban air mobility company that develops eco-friendly air taxis to transport people.,Series E,"Gly Capital Management, NEOM","$780,581,645"
Skydio,"$170,000,000","Feb 28, 2021","Redwood City, California, United States, North America","Artificial Intelligence (AI), Drone Management, Drones, Law Enforcement, Machine Learning, Robotics","Skydio uses artificial intelligence to create flying drones that are used by consumer, enterprise, and government customers.",Series D,Andreessen Horowitz,"$570,000,000"
Volocopter,"$170,000,000","Mar 4, 2022","Bruchsal, Baden-Wurttemberg, Germany, Europe","Aerospace, Air Transportation, Drones, Robotics, Transportation",Volocopter is an urban air mobility company that develops eco-friendly air taxis to transport people.,Series E,WP Investment,"$780,581,645"
ABL Space Systems,"$170,000,000","Mar 25, 2021","El Segundo, California, United States, North America","Aerospace, Information Technology, Satellite Communication",ABL Space Systems specializes in building rockets to launch satellites.,Series B,T. Rowe Price,"$459,000,000"
Isar Aerospace,"€155,000,000","Mar 28, 2023","Munich, Bayern, Germany, Europe","Aerospace, Information Technology, Space Travel","Isar Aerospace provides access to space for small and medium satellites, enabling global satellite constellations.",Series C,—,"$350,641,701"
Divergent,"$160,000,000","Apr 25, 2022","Torrance, California, United States, North America","3D Printing, Aerospace, Automotive, Embedded Software, GreenTech, Industrial Automation, Industrial Manufacturing, Software",Divergent is a developer of an end-to-end digital production system to reform industrial-scale manufacturing.,Series C,"John L. Thornton, Tom Steyer","$769,000,000"
HawkEye 360,"$150,000,000","Nov 8, 2021","Herndon, Virginia, United States, North America","Aerospace, Analytics, Wireless",HawkEye 360 is a data analytics company that develops space-based radio frequency mapping.,Series D,"Insight Partners, Seraphim Space","$412,300,000"
Rebellion Defense,"$150,000,000","Sep 16, 2021","Washington, District of Columbia, United States, North America","Artificial Intelligence (AI), Machine Learning, National Security, Software",Rebellion Defense's mission is to help the US and its partners outpace tomorrow's adversary.,Series B,"Insight Partners, Venrock","$150,000,000"
Overair,"$145,000,000","Jun 14, 2022","Santa Ana, California, United States, North America","Aerospace, Air Transportation, Electric Vehicle, Manufacturing","Overair designs, develops, and manufactures electric vertical takeoff and landing (eVTOL) aircraft.",Series B,"Hanwha Aerospace, Hanwha Systems","$170,000,000"
Beta Technologies,"$143,000,000","Mar 1, 2021","South Burlington, Vermont, United States, North America","Aerospace, Air Transportation, CleanTech, Manufacturing",Beta Technologies manufactures electric vertical takeoff and landing (eVTOL) aircraft and recharging pad systems.,Venture - Series Unknown,—,"$1,055,000,000"
Loft Orbital,"$140,000,000","Nov 7, 2021","San Francisco, California, United States, North America","Aerospace, Satellite Communication","Loft Orbital leases space on satellites for any organization to collect information about the Earth, from space.",Series B,BlackRock,"$156,200,000"
Relativity Space,"$140,000,000","Oct 1, 2019","Long Beach, California, United States, North America","3D Technology, Aerospace, Artificial Intelligence (AI), Manufacturing","Relativity Space is an aerospace company that designs, develops, and builds 3D printed rockets.",Series C,"Bond, Tribe Capital","$1,335,720,000"
ICEYE,"$136,000,000","Feb 3, 2022","Espoo, Southern Finland, Finland, Europe","Aerospace, Information Technology, Remote Sensing, Satellite Communication",ICEYE is a Synthetic Aperture Radar (SAR) satellite imaging company that provides remote sensing capabilities.,Series D,Seraphim Space,"$406,259,184"
Echodyne,"$135,000,000","Jun 13, 2022","Kirkland, Washington, United States, North America","Electronics, National Security, Sensor, Software",Echodyne develops and manufactures meta-materials-based radar technologies.,Series C,"Baillie Gifford, Bill Gates","$199,000,000"
Axiom Space,"$130,000,000","Feb 16, 2021","Houston, Texas, United States, North America","Advanced Materials, Aerospace, Industrial Manufacturing, Space Travel",Axiom Space is a commercial space station company that connects to the ISS.,Series B,C5 Capital,"$500,000,000"
Flying Whales,"€122,000,000","Jun 30, 2022","Suresnes, Ile-de-France, France, Europe",Aerospace,Flying Whales connecting the land-locked world to the global economy,Venture - Series Unknown,"Bpifrance, Gouvernement Monaco","€122,000,000"
Helsing,"€102,500,000","Nov 9, 2021","Berlin, Berlin, Germany, Europe","Artificial Intelligence (AI), Information Technology, Military, Software",Helsing is an AI defense company that specializes in the creation of AI-powered military solutions and components.,Series A,Prima Materia,"€311,500,000"
ZeroAvia,"$116,000,000","Sep 18, 2023","Hollister, California, United States, North America","Aerospace, Air Transportation, CleanTech, Industrial",ZeroAvia develops zero-emission hydrogen fuel cell powertrain solutions for aircraft.,Series C,"Airbus, Barclays, NEOM","$259,950,000"
Skyports,"£88,000,000","Apr 17, 2024","London, England, United Kingdom, Europe","Aerospace, Drone Management, Transportation, Travel",Skyports provides urban air mobility infrastructure and manages end-to-end drone delivery services.,Series C,"ACS Group Directory, Iridium","$143,581,347"
D-Orbit,"€100,000,000","Nov 8, 2023","Milan, Lombardia, Italy, Europe","Aerospace, Automotive, Fleet Management, Information Technology, Software, Transportation","D-Orbit is the first in-space transportation company, providing solutions for moving, precise deployment and removing satellites.",Series C,Marubeni,"€121,280,000"
Heart Aerospace,"$107,000,000","Feb 1, 2024","Göteborg, Vastra Gotaland, Sweden, Europe",Aerospace,Heart Aerospace is a Swedish startup making electric regional airplanes.,Series B,—,"$147,170,078"
Mark43,"$101,000,000","Jul 12, 2021","New York, New York, United States, North America","GovTech, Information Services, Law Enforcement, Public Safety, Software",Mark43 offers cloud-based public safety software for law enforcement to ensure accurate responses.,Series E,"The Spruce House Partnership, Tiger Global Management","$268,824,992"
Stoke Space,"$100,000,000","Oct 5, 2023","Kent, Washington, United States, North America","Aerospace, Product Design, Space Travel",Stoke Space is a developer of reusable rockets that provide access to and from any orbit to the satellite industry.,Series B,Industrious Ventures,"$176,199,949"
True Anomaly,"$100,000,000","Dec 12, 2023","Centennial, Colorado, United States, North America","Aerospace, Machinery Manufacturing, Military, Space Travel","True Anomaly develops space security technologies using AI, software, and spacecraft to enhance global security and sustainability.",Series B,Riot Ventures,"$158,019,000"
Gecko Robotics,"$100,000,000","Dec 5, 2023","Pittsburgh, Pennsylvania, United States, North America","Industrial Engineering, Information Technology, Infrastructure, Military, Robotics, Software","Gecko Robotics provides robotics and inspection services, particularly for industrial applications.",Series C,"Founders Fund, US Innovative Technology Fund","$222,000,000"
Ursa Major,"$100,000,000","Apr 26, 2023","Berthoud, Colorado, United States, North America","Aerospace, National Security, Satellite Communication, Space Travel","Ursa Major provides a propulsion system for space launch, hypersonics, and national security.",Series D,—,"$271,829,970"
AeroVanti,"$100,000,000","Oct 19, 2022","Annapolis, Maryland, United States, North America","Aerospace, Air Transportation, Transportation",AeroVanti offers private aviation services aiming to make charter services affordable and accessible to everyone.,Corporate Round,—,"$109,750,000"
Skydio,"$100,000,000","Jul 13, 2020","Redwood City, California, United States, North America","Artificial Intelligence (AI), Drone Management, Drones, Law Enforcement, Machine Learning, Robotics","Skydio uses artificial intelligence to create flying drones that are used by consumer, enterprise, and government customers.",Series C,Next47,"$570,000,000"
Divergent,"$100,000,000","Dec 16, 2022","Torrance, California, United States, North America","3D Printing, Aerospace, Automotive, Embedded Software, GreenTech, Industrial Automation, Industrial Manufacturing, Software",Divergent is a developer of an end-to-end digital production system to reform industrial-scale manufacturing.,Corporate Round,Hexagon,"$769,000,000"
Hermeus,"$100,000,000","Mar 10, 2022","Atlanta, Georgia, United States, North America","Aerospace, Air Transportation, Infrastructure, Travel",Hermeus is developing Mach 5 aircraft to speed up the global transportation network.,Series B,Sam Altman,"$176,000,000"
Capella Space,"$97,000,000","Apr 25, 2022","San Francisco, California, United States, North America","Aerospace, Geospatial, Image Recognition, Information Services",Capella Space is an information services company that provides on-demand 24/7 SAR data for government and commercial customers.,Series C,NightDragon,"$238,969,988"
Divergent,"$96,000,000","Jul 1, 2019","Torrance, California, United States, North America","3D Printing, Aerospace, Automotive, Embedded Software, GreenTech, Industrial Automation, Industrial Manufacturing, Software",Divergent is a developer of an end-to-end digital production system to reform industrial-scale manufacturing.,Convertible Note,—,"$769,000,000"
Volocopter,"€87,000,000","Feb 14, 2020","Bruchsal, Baden-Wurttemberg, Germany, Europe","Aerospace, Air Transportation, Drones, Robotics, Transportation",Volocopter is an urban air mobility company that develops eco-friendly air taxis to transport people.,Series C,DB Schenker,"$780,581,645"
ICEYE,"$93,000,000","Apr 17, 2024","Espoo, Southern Finland, Finland, Europe","Aerospace, Information Technology, Remote Sensing, Satellite Communication",ICEYE is a Synthetic Aperture Radar (SAR) satellite imaging company that provides remote sensing capabilities.,Venture - Series Unknown,Solidium,"$406,259,184"
Unseenlabs,"€85,000,000","Feb 27, 2024","Rennes, Bretagne, France, Europe","Aerospace, Marine Technology, Security","Unseenlabs offers maritime surveillance via space-based RF detection, tracking ships worldwide by electromagnetic signatures.",Series C,"ISALT, Supernova Invest, Unexo","€112,500,000"
Hadrian,"$92,000,000","Feb 21, 2024","Hawthorne, California, United States, North America","Aerospace, Machinery Manufacturing, Manufacturing, Supply Chain Management",Hadrian is a machine parts startup that manufactures precision components for technology companies.,Series B,—,"$216,500,000"
Voyager Space,"$91,005,224","Oct 12, 2021","Denver, Colorado, United States, North America","Aerospace, Infrastructure, Space Travel",Voyager Space is an aviation and aerospace company that specializes in the space exploration industry.,Venture - Series Unknown,—,"$177,817,234"
Isar Aerospace,"$91,000,000","Dec 9, 2020","Munich, Bayern, Germany, Europe","Aerospace, Information Technology, Space Travel","Isar Aerospace provides access to space for small and medium satellites, enabling global satellite constellations.",Series B,Lakestar,"$350,641,701"
Hadrian,"$90,000,000","Mar 31, 2022","Hawthorne, California, United States, North America","Aerospace, Machinery Manufacturing, Manufacturing, Supply Chain Management",Hadrian is a machine parts startup that manufactures precision components for technology companies.,Series A,"Andreessen Horowitz, Lux Capital","$216,500,000"
Shield AI,"$90,000,000","Jun 9, 2022","San Diego, California, United States, North America","Artificial Intelligence (AI), Autonomous Vehicles, Drones, Machine Learning, National Security",Shield AI is an artificial intelligence company that aims to protect service members and civilians with intelligent systems.,Series E,Snowpoint Ventures,"$1,073,144,999"
Varda,"$90,000,000","Apr 5, 2024","San Francisco, California, United States, North America","Aerospace, Manufacturing, Product Design",Varda is a space manufacturing startup that creates products in microgravity and retrieves them for terrestrial use.,Series B,Caffeinated Capital,"$141,025,000"
ICEYE,"$87,000,000","Sep 22, 2020","Espoo, Southern Finland, Finland, Europe","Aerospace, Information Technology, Remote Sensing, Satellite Communication",ICEYE is a Synthetic Aperture Radar (SAR) satellite imaging company that provides remote sensing capabilities.,Series C,True Ventures,"$406,259,184"
Ursa Major,"$85,000,000","Dec 7, 2021","Berthoud, Colorado, United States, North America","Aerospace, National Security, Satellite Communication, Space Travel","Ursa Major provides a propulsion system for space launch, hypersonics, and national security.",Series C,BlackRock,"$271,829,970"
Voyager Space,"$80,200,000","Feb 3, 2023","Denver, Colorado, United States, North America","Aerospace, Infrastructure, Space Travel",Voyager Space is an aviation and aerospace company that specializes in the space exploration industry.,Private Equity,NewSpace Capital,"$177,817,234"
Mach Industries,"$79,000,000","Oct 4, 2023","Austin, Texas, United States, North America","Energy, Industrial, National Security",Mach Industries provides defence systems technology that creates a hardware solution using field-sourced hydrogen creation and techniques.,Series A,Bedrock,"$84,700,000"
Firefly Aerospace,"$75,000,000","May 4, 2021","Cedar Park, Texas, United States, North America","Aerospace, Air Transportation, Satellite Communication","Firefly Aerospace provides launch vehicles, spacecraft, and in-space services for small payloads.",Series A,DADA Holdings,"$571,557,023"
Isar Aerospace,"$75,000,000","Jul 28, 2021","Munich, Bayern, Germany, Europe","Aerospace, Information Technology, Space Travel","Isar Aerospace provides access to space for small and medium satellites, enabling global satellite constellations.",Series B,"HV Capital, Lombard Odier, Porsche Automobil Holding","$350,641,701"
Firefly Aerospace,"$75,000,000","Mar 22, 2022","Cedar Park, Texas, United States, North America","Aerospace, Air Transportation, Satellite Communication","Firefly Aerospace provides launch vehicles, spacecraft, and in-space services for small payloads.",Series B,AE Industrial Partners,"$571,557,023"
Vannevar Labs,"$75,000,000","Jan 18, 2023","Palo Alto, California, United States, North America","Aerospace, Artificial Intelligence (AI), GovTech, National Security, Software",Vannevar Labs is a technology startup providing defense and national security technologies for critical national security problems.,Series B,Felicis,"$87,000,000"
Gecko Robotics,"$73,000,000","Mar 3, 2022","Pittsburgh, Pennsylvania, United States, North America","Industrial Engineering, Information Technology, Infrastructure, Military, Robotics, Software","Gecko Robotics provides robotics and inspection services, particularly for industrial applications.",Series C,XN,"$222,000,000"
SpinLaunch,"$71,000,000","Sep 20, 2022","Long Beach, California, United States, North America","Aerospace, Space Travel",SpinLaunch is an aerospace company focused on sending satellites to low-Earth orbit using kinetic energy.,Series B,ATW Partners,"$146,000,000"
Chaos,"$70,000,000","Mar 6, 2023","Los Angeles, California, United States, North America","Aerospace, Government, Military, National Security",The future of defense and critical industry technology.,Series A,8VC,"$70,000,000"
HawkEye 360,"$70,000,000","Aug 6, 2019","Herndon, Virginia, United States, North America","Aerospace, Analytics, Wireless",HawkEye 360 is a data analytics company that develops space-based radio frequency mapping.,Series B,"Airbus, Esri","$412,300,000"
Epirus,"$70,000,000","Dec 17, 2020","Hawthorne, California, United States, North America","Aerospace, Machinery Manufacturing, Military, Software",Epirus builds directed energy and power management systems to solve some of the world’s most complex problems.,Series B,Bedrock,"$287,631,878"
Shield AI,"$70,000,000","Feb 23, 2021","San Diego, California, United States, North America","Artificial Intelligence (AI), Autonomous Vehicles, Drones, Machine Learning, National Security",Shield AI is an artificial intelligence company that aims to protect service members and civilians with intelligent systems.,Series C,Point72 Ventures,"$1,073,144,999"
Quantum Systems,"€63,600,000","Oct 24, 2023","Gilching, Bayern, Germany, Europe","Aerospace, Agriculture, Mapping Services, Robotics","Unmanned aerial systems, drones, UAV",Series B,"DTCP, HV Capital","$166,614,172"
LeoLabs,"$65,000,000","Jun 3, 2021","Menlo Park, California, United States, North America","Aerospace, Database, Mapping Services, Software",LeoLabs is an aerospace company that supplies and provides low Earth orbit mapping and space situational awareness services.,Series B,"Insight Partners, Velvet Sea Ventures","$111,000,000"
Stoke Space,"$65,000,000","Dec 15, 2021","Kent, Washington, United States, North America","Aerospace, Product Design, Space Travel",Stoke Space is a developer of reusable rockets that provide access to and from any orbit to the satellite industry.,Series A,Breakthrough Energy Ventures,"$176,199,949"
Customcells Group,"€60,000,000","Dec 8, 2022","Itzehoe, Schleswig-Holstein, Germany, Europe","Aerospace, Artificial Intelligence (AI), Automotive, Battery, Chemical, Chemical Engineering, CleanTech, Energy, Energy Efficiency, Energy Storage","Innovative cells, High performance batteries, Lithium ion, cells, Automotive cells, Aviation cells, High Si cells, battery technology",Series A,"ABACON CAPITAL, World Fund","€60,000,000"
Universal Hydrogen,"$62,000,000","Oct 14, 2021","Hawthorne, California, United States, North America","Aerospace, CleanTech, Energy, Infrastructure, Logistics",Universal Hydrogen is a fuel logistics company making hydrogen-powered commercial flight a reality.,Series B,—,"$82,500,000"
Shield AI,"$60,000,000","Dec 13, 2022","San Diego, California, United States, North America","Artificial Intelligence (AI), Autonomous Vehicles, Drones, Machine Learning, National Security",Shield AI is an artificial intelligence company that aims to protect service members and civilians with intelligent systems.,Series E,US Innovative Technology Fund,"$1,073,144,999"
CesiumAstro,"$60,000,000","Mar 2, 2022","Austin, Texas, United States, North America","Aerospace, Drones, Satellite Communication, Space Travel","CesiumAstro provides out-of-the-box communication systems for satellites, UAVs, launch vehicles, and other space or airborne platforms.",Series B,"Airbus Ventures, Forever Ventures","$120,239,195"
Capella Space,"$60,000,000","Jan 10, 2023","San Francisco, California, United States, North America","Aerospace, Geospatial, Image Recognition, Information Services",Capella Space is an information services company that provides on-demand 24/7 SAR data for government and commercial customers.,Venture - Series Unknown,US Innovative Technology Fund,"$238,969,988"
HawkEye 360,"$58,000,000","Jul 13, 2023","Herndon, Virginia, United States, North America","Aerospace, Analytics, Wireless",HawkEye 360 is a data analytics company that develops space-based radio frequency mapping.,Series D,"Alumni Ventures, BlackRock","$412,300,000"
Daedalean,"CHF53,000,000","Jan 17, 2022","Zürich, Zurich, Switzerland, Europe","Aerospace, Air Transportation, Artificial Intelligence (AI), Autonomous Vehicles, Computer Vision, Machine Learning, Software",Daedalean is building autonomous piloting software systems for civil aircraft of today and advanced aerial mobility of tomorrow.,Series B,—,"$72,511,531"
Privateer,"$56,500,000","May 6, 2024","Kihei, Hawaii, United States, North America","Big Data, Data Visualization, Geospatial, National Security, Predictive Analytics, Software",Privateer develops data infrastructure to power sustainable growth for the new space economy.,Series A,Aero X Ventures,"$56,500,000"
Volocopter,"€50,000,000","Sep 9, 2019","Bruchsal, Baden-Wurttemberg, Germany, Europe","Aerospace, Air Transportation, Drones, Robotics, Transportation",Volocopter is an urban air mobility company that develops eco-friendly air taxis to transport people.,Series C,Geely,"$780,581,645"
Saronic,"$55,000,000","Oct 9, 2023","Austin, Texas, United States, North America","Artificial Intelligence (AI), Drones, Government, Military, National Security",Saronic provides naval and maritime forces with the most intelligent Autonomous Surface Vessels available.,Series A,Caffeinated Capital,"$70,000,000"
HawkEye 360,"$55,000,000","Apr 12, 2021","Herndon, Virginia, United States, North America","Aerospace, Analytics, Wireless",HawkEye 360 is a data analytics company that develops space-based radio frequency mapping.,Series C,NightDragon,"$412,300,000"
BRINC,"$55,000,000","Jan 1, 2022","Seattle, Washington, United States, North America","Aerospace, Drones, Law Enforcement, Public Safety, Robotics",BRINC is an aerospace company that builds technology in the service of public safety.,Series B,Alameda Research,"$82,200,000"
Kairos Aerospace,"$52,000,000","Feb 15, 2024","Sunnyvale, California, United States, North America","Aerospace, Data Visualization, Energy, Oil and Gas",Kairos Aerospace develops aerial monitoring technology to detect aerial methane leaks for the energy industry.,Series D,BlackRock,"$100,700,000"
Open Cosmos,"£40,000,000","Sep 11, 2023","Harwell, Oxfordshire, United Kingdom, Europe","Aerospace, Geospatial, Internet of Things, Satellite Communication, Space Travel","Open Cosmos is a space technology company that designs, builds, and operates low-earth orbit satellites, providing data and images.",Series B,"A&G Energy Transition Tech Fund, ETF Partners, Trill Impact","$62,612,924"
Mark43,"$50,000,000","Apr 1, 2020","New York, New York, United States, North America","GovTech, Information Services, Law Enforcement, Public Safety, Software",Mark43 offers cloud-based public safety software for law enforcement to ensure accurate responses.,Series D,—,"$268,824,992"
Boom Supersonic,"$50,000,000","Dec 15, 2020","Centennial, Colorado, United States, North America","Aerospace, Air Transportation, Manufacturing","Boom Supersonic is a commercial airplane manufacturer that builds supersonic airliners designed for speed, safety, and sustainability.",Series C,Celesta Capital,"$207,496,024"
